2026-09-05 10:28:17 | USB_DISCONNECTED | Status: OK | Class: HIDClass | Device: USB Input Device | InstanceId: USB\VID_258A&PID_002A&MI_00\7&37F796AE&0&0000
2026-09-05 10:28:17 | USB_DISCONNECTED | Status: OK | Class: HIDClass | Device: USB Input Device | InstanceId: USB\VID_258A&PID_002A&MI_01\7&37F796AE&0&0001
2026-09-05 10:28:17 | USB_DISCONNECTED | Status: OK | Class: USB | Device: USB Composite Device | InstanceId: USB\VID_258A&PID_002A\6&15F17D69&0&1
2026-09-05 10:28:42 | USB_CONNECTED | Status: OK | Class: WPD | Device: POCO M4 Pro | InstanceId: USB\VID_2717&PID_FF40\ZXKZ8DUKXCY5ORJB
2026-09-05 10:29:04 | USB_DISCONNECTED | Status: OK | Class: WPD | Device: POCO M4 Pro | InstanceId: USB\VID_2717&PID_FF40\ZXKZ8DUKXCY5ORJB
2026-09-05 10:29:18 | USB_CONNECTED | Status: OK | Class: HIDClass | Device: USB Input Device | InstanceId: USB\VID_258A&PID_002A&MI_00\7&37F796AE&0&0000
2026-09-05 10:29:18 | USB_CONNECTED | Status: OK | Class: HIDClass | Device: USB Input Device | InstanceId: USB\VID_258A&PID_002A&MI_01\7&37F796AE&0&0001
2026-09-05 10:29:18 | USB_CONNECTED | Status: OK | Class: USB | Device: USB Composite Device | InstanceId: USB\VID_258A&PID_002A\6&15F17D69&0&1
2026-09-05 10:36:35 | USB_DISCONNECTED | Status: OK | Class: HIDClass | Device: USB Input Device | InstanceId: USB\VID_258A&PID_002A&MI_00\7&37F796AE&0&0000
2026-09-05 10:36:35 | USB_DISCONNECTED | Status: OK | Class: HIDClass | Device: USB Input Device | InstanceId: USB\VID_258A&PID_002A&MI_01\7&37F796AE&0&0001
2026-09-05 10:36:35 | USB_DISCONNECTED | Status: OK | Class: USB | Device: USB Composite Device | InstanceId: USB\VID_258A&PID_002A\6&15F17D69&0&1
2026-09-05 10:36:37 | USB_CONNECTED | Status: OK | Class: HIDClass | Device: USB Input Device | InstanceId: USB\VID_258A&PID_002A&MI_00\7&37F796AE&0&0000
2026-09-05 10:36:38 | USB_CONNECTED | Status: OK | Class: HIDClass | Device: USB Input Device | InstanceId: USB\VID_258A&PID_002A&MI_01\7&37F796AE&0&0001
2026-09-05 10:36:38 | USB_CONNECTED | Status: OK | Class: USB | Device: USB Composite Device | InstanceId: USB\VID_258A&PID_002A\6&15F17D69&0&1
